title,listing_type,city,zip_code,numerical_descriptors,amenities,dates,rating,num_reviews,discounted,original_value,price_per_night,cleaning_fee,service_fee
Private Self Checkin Apartment 7 mins to SFO,entire rental unit,San Bruno,94128,3 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.87,362,False,,110.0,50.0,38.0
GREAT DEAL! Newly Furnished - Close to Airport,entire rental unit,San Bruno,94128,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Kitchen,Dec 24 – 26,4.71,91,False,,106.0,90.0,42.0
A4- SFO Airport Layover Convenient Stay,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 3 – 5,,0,False,,49.0,25.0,17.0
♥ Guest Suite - Convenient to Airport & BART/CAL,entire guest suite,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.59,85,False,,75.0,85.0,33.0
Charming Private Studio Near SFO,entire guest suite,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 24 – 26,4.77,823,True,101.0,85.0,25.0,28.0
"Beautiful Studio, super clean close to SFO.",entire guest suite,San Bruno,94128,3 guests - Studio - 2 beds - 1 bath,Wifi - Free parking,Dec 3 – 5,4.86,189,False,,79.0,39.0,28.0
"Private garden bedroom near SFO, BART  & CalTrans",private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 24 – 26,4.94,106,False,,70.0,30.0,24.0
Cheerful one-bedroom residential home,entire residential home,San Bruno,94128,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.82,11,False,,118.0,54.0,41.0
Deep cleaning旧金山机场附近Millbrae高尚住宅区全新装修独立卫生间温馨舒适套房,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.73,176,True,73.0,66.0,25.0,22.0
Cozy room near SFO  (Room 2),private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,4.74,202,False,,65.0,30.0,23.0
Rm3: SFO BRIGHT/COZY 1Bed&Bath *FREEPARKING*,private room,San Bruno,94128,3 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 3 – 5,4.25,79,False,,55.0,45.0,22.0
A comfortable place to stay when u traveling in SF,entire residential home,San Bruno,94128,3 guests - Studio - 1 bed - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,,0,False,,73.0,10.0,22.0
"228-Walker Paradise, Mins to SFO Transit & Freeway",entire residential home,San Bruno,94128,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,5.0,6,False,,154.0,110.0,59.0
Entire private guest suite for you!,entire guest suite,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 17 – 19,4.85,26,False,,85.0,60.0,32.0
♥️ Studio ~8 mins SFO~Walk to DT/Train/Bart/YouTube,entire guest suite,San Bruno,94128,2 guests - Studio - 2 beds - 1 bath,Wifi - Kitchen - Washer,Dec 17 – 19,4.51,99,False,,94.0,75.0,37.0
Deep cleaning旧金山机场附近Millbrae高尚住宅区温馨舒适双床大房,private room,Millbrae,94128,4 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.65,251,True,73.0,66.0,25.0,22.0
Affordable 1Bed/1Bath w/ Separated Living Room,entire rental unit,South San Francisco,94128,2 guests - Studio - 1 bed - 1 bath,Wifi - Washer,Dec 17 – 19,4.73,40,False,,70.0,55.0,28.0
888U - Country Lifestyle 3B2B Local Home in Millbrae Hill,entire residential home,Millbrae,94128,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,,0,True,200.0,150.0,150.0,64.0
SanBruno A4 Cozy 1bed&bath FreeParking SFO,private room,San Bruno,94128,3 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking - Kitchen,Dec 10 – 12,4.57,7,False,,68.0,40.0,25.0
Sparkling Clean Private Luxury Suite Near SF w EV,entire guest suite,South San Francisco,94128,5 guests - Studio - 3 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.96,258,False,,144.0,89.0,53.0
San Bruno Studio near YouTube,entire condominium (condo),San Bruno,94128,2 guests - Studio - 1 bed - 1 bath,Wifi - Free parking - Kitchen,Dec 10 – 12,4.9,99,False,,145.0,0.0,41.0
A1-A SFO Airport Layover Convenient Stay,private room,Millbrae,94128,2 guests - 1 bedroom - 2 shared baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,53.0,25.0,18.0
133bed3 Single Bed Space in Large House near SFO,shared room,South San Francisco,94128,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.48,267,False,,34.0,15.0,12.0
Jacuzzi King Suite - Mins to SFO - Walkable Area,hotel room,San Bruno,94128,3 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 17 – 19,3.5,4,False,,139.0,0.0,39.0
Affordable 1Bed/1Bath w/ Separated Living Room,entire rental unit,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer,Dec 31 – Jan 2,4.26,39,False,,69.0,60.0,28.0
Deep cleaning旧金山机场附近Millbrae高尚住宅区温馨舒适双床房,private room,Millbrae,94128,3 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.7,171,False,,63.0,25.0,21.0
"Air-Hockey | MODERN | SFO 2Bd/1Ba, 1 min to BART!",entire residential home,Millbrae,94128,6 guests - 2 bedrooms - 3 beds - 1 bath,Wifi - Free parking,Dec 17 – 19,4.51,206,False,,175.0,80.0,61.0
Beautiful Newly Remodeled Home Near SFO,entire residential home,San Bruno,94128,6 guests - 2 bedrooms - 5 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.87,201,False,,199.0,139.0,76.0
2nd smaller Bedroom,private room,Burlingame,94128,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Washer,Dec 24 – 26,4.94,53,False,,55.0,20.0,18.0
1333F Cozy Queen Bedroom w/ Private Bath near SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Kitchen - Washer,Dec 31 – Jan 2,4.46,125,True,122.0,64.0,40.0,24.0
SanBruno A2 Cozy 1bed&bath FreeParking SFO,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Kitchen,Dec 10 – 12,4.0,10,False,,68.0,40.0,25.0
Burlingame Charmer.,entire rental unit,Burlingame,94128,2 guests - Studio - 1 bed - 1 bath,Wifi - Free parking - Kitchen,Dec 31 – Jan 2,4.35,23,False,,108.0,40.0,36.0
Boutique Hotel Feel - Private Luxury Master Suite,entire guest suite,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 31 – Jan 2,4.88,145,False,,155.0,60.0,52.0
❤️5min 2 SFO Kitchen/Prking/Laundry/walk Train🚉❤️,entire rental unit,Burlingame,94128,5 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,4.85,99,True,324.0,220.0,135.0,81.0
1332C Large Double Queen-Bed Room near SFO,private room,South San Francisco,94128,4 guests - 1 bedroom - 2 beds - 2 shared baths,Wifi - Free parking - Kitchen - Washer,Dec 31 – Jan 2,4.7,157,True,90.0,62.0,40.0,23.0
Clean&Cozy Cottage near downtown Burlingame & SFO,entire guesthouse,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Kitchen,Dec 10 – 12,4.97,220,False,,149.0,45.0,48.0
Rm2: SFO BRIGHT/SPACIOUS 2Bed&Bath*FREEPARKING*,private room,San Bruno,94128,4 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking,Dec 31 – Jan 2,4.55,65,False,,67.0,50.0,26.0
Newly Remodeled Two-Story Gem,entire townhouse,San Bruno,94128,4 guests - 2 bedrooms - 2 beds - 2 baths,Wifi - Kitchen,Dec 10 – 12,4.73,82,True,250.0,165.0,180.0,72.0
Private 1BR/1BA/Office room/Pet friendly/Backyard,entire guest suite,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Washer,Dec 17 – 19,4.3,20,False,,138.0,65.0,48.0
Bright 1br/1ba 5 min SFO WiFi Parking location!,entire rental unit,Burlingame,94128,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.4,5,False,,149.0,75.0,53.0
Private bedroom and bathroom in SSF,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 17 – 19,,0,False,,59.0,30.0,21.0
8'SFO/PrivEntry/Sunny YardKitchen/UV detailedClean,private room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Washer,Dec 31 – Jan 2,4.87,53,False,,66.0,24.0,0.0
A2 - SFO Airport Layover Convenient Stay,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,51.0,25.0,18.0
Comfy King Bed-Walk to Restaurants-Minutes to SFO,room in boutique hotel,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 31 – Jan 2,4.53,34,False,,199.0,0.0,56.0
133bed2 Single Bed Space in Large House near SFO,shared room,South San Francisco,94128,1 guest - 1 bedroom - 1 bed - 2 shared baths,Wifi - Free parking - Kitchen - Washer,Dec 31 – Jan 2,4.48,228,True,53.0,35.0,15.0,12.0
Beautiful Cottage 1 Bedroom/1 Bath/Kitchen,entire rental unit,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 10 – 12,4.38,264,False,,90.0,65.0,35.0
1332D Cozy Private Bedroom with Work Desk near SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.56,120,False,,50.0,30.0,18.0
"RUSTIC/MODERN DESIGN, OASIS CITY GETAWAY/NEAR SFO",entire residential home,South San Francisco,94128,6 guests - 2 bedrooms - 3 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,5.0,4,False,,240.0,150.0,89.0
2 bedrooms/1bath/ kitchenette (Yellow),entire rental unit,South San Francisco,94128,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Washer,Dec 31 – Jan 2,4.45,40,False,,95.0,85.0,39.0
"The Millwood, Deluxe King",room in boutique hotel,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Washer,Dec 24 – 26,4.74,187,False,,129.0,0.0,0.0
Cozy Queen Rm-Mins from SFO-Free Parking,private room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1.5 baths,Wifi - Free parking,Dec 24 – 26,4.95,19,False,,72.0,59.0,29.0
Cozy private room near SFO (Room 1 ),private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 17 – 19,4.79,131,False,,65.0,30.0,23.0
❤ SF Luxury Retreat! Near CalTrain/BART+8 Parkings,entire residential home,South San Francisco,94128,16 guests - 3 bedrooms - 5 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,5.0,8,False,,795.0,195.0,252.0
S4 - Lovely Room w/ scenic view & balcony access,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 3 – 5,3.8,5,False,,50.0,18.0,17.0
8406 Penthouse Studio Elevator & Parking near SFO,entire rental unit,South San Francisco,94128,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.69,103,False,,148.0,80.0,53.0
Comfy full size bed,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen,Dec 10 – 12,4.81,137,False,,58.0,30.0,21.0
B/3B1B~8 min to SFO~Walk to DT/Train/Bart/YouTube,entire townhouse,San Bruno,94128,7 guests - 3 bedrooms - 7 beds - 1 bath,Wifi - Kitchen - Washer,Dec 31 – Jan 2,4.41,75,False,,159.0,99.0,59.0
(B3)SFO/SF- Cozy 1Bed & Bathroom*FREEPARKING*,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 24 – 26,4.52,90,False,,58.0,40.0,22.0
Hot tub/Luxury 2 BR Apt/Pet Friendly/ Backyard,entire rental unit,San Bruno,94128,6 guests - 2 bedrooms - 4 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.57,7,False,,290.0,125.0,100.0
Private 800+ sq ft suite near SFO w/Grand Piano!,entire guest suite,Millbrae,94128,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Free parking - Kitchen,Dec 24 – 26,4.86,73,False,,130.0,45.0,43.0
Amazing family retreat with proximity to SF/SFO,entire residential home,San Bruno,94128,6 guests - 3 bedrooms - 3 beds - 1.5 baths,Wifi - Free parking - Kitchen,Dec 31 – Jan 2,4.81,16,False,,196.0,100.0,69.0
"Walk to Restaurants, Boutique SFO Hotel",room in boutique hotel,San Bruno,94128,4 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking,Dec 31 – Jan 2,4.67,79,False,,169.0,0.0,48.0
"Remodeled quiet 1 BR near SFO, heated bath floors.",entire guest suite,Burlingame,94128,3 guests - 1 bedroom - 3 beds - 1 bath,Wifi - Kitchen,Dec 3 – 5,4.96,68,False,,155.0,125.0,61.0
A1-B SFO Airport Layover Convenient Stay,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 3 – 5,,0,False,,51.0,25.0,18.0
Baden B (new),entire rental unit,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 17 – 19,4.58,36,False,,85.0,70.0,34.0
1332F Cozy Queen Bedroom w/ Private Bath near SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.55,124,False,,77.0,40.0,27.0
1333B Large Private Room with Shared Bath near SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.55,138,False,,68.0,30.0,23.0
1333A Double-Bed Master Bedroom with Private Bath,private room,South San Francisco,94128,3 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.47,115,False,,73.0,45.0,27.0
QuietBackYardView/TV/Fridge/Microwave/UVDetailCln,private room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 31 – Jan 2,4.82,44,False,,60.0,45.0,23.0
"Elegant, Private & Newly Built Unit close to S.F.O",entire guest suite,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,,0,False,,115.0,65.0,42.0
"Central Bay Area/Priv bath, entry/detailed clean",private room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Washer,Dec 24 – 26,4.74,43,False,,75.0,45.0,28.0
(A3)SouthSF-Cozy1Bed&Bath*FREEPARKING* SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 10 – 12,4.47,76,False,,58.0,40.0,22.0
"8403 Luxury Apart. A/C  Elevator, Parking near SFO",entire rental unit,South San Francisco,94128,4 guests - 2 bedrooms - 3 beds - 2.5 baths,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.74,19,False,,239.0,115.0,84.0
♥️E/3B1B~8 min to SFO~Walk to DT/Train/Bart/YouTube,entire townhouse,San Bruno,94128,8 guests - 3 bedrooms - 8 beds - 1 bath,Wifi - Kitchen - Washer,Dec 3 – 5,4.76,46,False,,142.0,99.0,54.0
Comfy Queen in beautiful home close to SFO,private room,Burlingame,94128,3 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.71,206,False,,78.0,30.0,26.0
New ⭐️ Near SFO ⭐️,entire rental unit,San Bruno,94128,4 guests - 1 bedroom - 1 bed - 1.5 baths,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.75,24,False,,180.0,75.0,61.0
"8402 New Luxury 2Bd2.5 B, A/C & Elevator near SFO",entire rental unit,South San Francisco,94128,7 guests - 2 bedrooms - 4 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.81,107,False,,197.0,115.0,72.0
Clean  1br/1ba 5 min SFO WiFi Parking Location!,entire rental unit,Burlingame,94128,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.7,47,False,,149.0,75.0,53.0
"The Dylan, 1 queen bed Traditional Room",room in boutique hotel,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 10 – 12,4.51,39,False,,124.0,0.0,0.0
Spacious⭐️Heated Pool⭐️GOOD ENERGY⭐️Near SFO,entire rental unit,San Bruno,94128,8 guests - 2 bedrooms - 5 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,5.0,3,False,,250.0,75.0,81.0
Helen's Place (near SFO airport and BART),entire guest suite,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 31 – Jan 2,4.9,158,False,,130.0,50.0,44.0
NEWLY FURNISHED! RECENTLY RENOVATED! CLOSE TO SFO!,entire residential home,South San Francisco,94128,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Free parking - Kitchen,Dec 24 – 26,,0,False,,278.0,97.0,92.0
Great Amenities & Convenient Location! Near San Mateo County History Museum,hotel room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 17 – 19,,0,False,,86.0,0.0,24.0
"2 Queen Beds, Minutes to SFO, Walk to Restaurants",room in boutique hotel,San Bruno,94128,4 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking,Dec 3 – 5,4.67,12,False,,119.0,0.0,34.0
1332E Double Twin Bedroom w/ Shared Bath near SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 2 beds - 2 shared baths,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.49,162,False,,64.0,30.0,22.0
1332B Large Private Room with Shared Bath near SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 2 beds - 2 shared baths,Wifi - Free parking - Kitchen - Washer,Dec 31 – Jan 2,4.54,122,True,97.0,62.0,30.0,22.0
Quiet/LayerDisinfect/PrivateEntryEasyParkFridgeMV,private room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Washer,Dec 24 – 26,4.2,5,False,,60.0,35.0,22.0
"Hot tub Entire 1 BR Apartment/3 mins Bart,Caltrain",entire rental unit,San Bruno,94128,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Washer,Dec 31 – Jan 2,,0,False,,200.0,90.0,69.0
S3 - Bright Room w/ scenic view,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking,Dec 24 – 26,,0,False,,52.0,18.0,17.0
King in beautiful home close to SFO,private room,Burlingame,94128,3 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.72,204,False,,93.0,35.0,31.0
Tranquility Villa/10 Min from SFO,private room,Millbrae,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Washer,Dec 10 – 12,4.89,9,False,,79.0,45.0,29.0
Jacuzzi/PrivEntryBathParking/Stunning view/340sqft,private room,Burlingame,94128,4 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking - Washer,Dec 24 – 26,4.85,20,False,,102.0,65.0,38.0
Tranquility Villa/10 Min away from SFO,entire villa,Millbrae,94128,8 guests - 4 bedrooms - 5 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,4.81,26,False,,359.0,120.0,118.0
Huge private bedroom near SFO  (Room 3 ),private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 31 – Jan 2,4.79,81,False,,70.0,30.0,24.0
Lovely private room in South San Francisco.,private room,South San Francisco,94128,6 guests - 3 bedrooms - 1 shared bath,Wifi - Kitchen - Washer,Dec 17 – 19,,0,False,,67.0,15.0,21.0
1250 sq feet house 5 mins from SFO airport,entire residential home,San Bruno,94128,8 guests - 2 bedrooms - 4 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,4.75,248,False,,202.0,80.0,68.0
Beautiful Family Home - Top floor,entire residential home,South San Francisco,94128,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Free parking - Kitchen,Dec 10 – 12,4.48,25,False,,199.0,129.0,74.0
B1 - Love Room near San Francisco Airport,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking,Dec 17 – 19,,0,False,,54.0,0.0,15.0
Halekipa - Beautiful Guest Home with parking!,entire guest suite,South San Francisco,94128,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,4.74,169,False,,169.0,140.0,67.0
Single King Room at Vagabond Inn Executive SFO,hotel room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 17 – 19,,0,False,,92.0,0.0,0.0
S2 - Goodness room w/ spectacular ocean city view,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,52.0,18.0,17.0
Rm1: SFO BRIGHT/COZY 2Bed&Bath*FREEPARKING*,private room,San Bruno,94128,5 guests - 1 bedroom - 3 beds - 1 private bath,Wifi - Free parking - Kitchen,Dec 3 – 5,4.56,70,False,,73.0,60.0,29.0
"Adventure in California! Cycling, Close to Hiller Aviation Museum",hotel room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 17 – 19,,0,False,,86.0,0.0,24.0
Serene Home with a Private Terrace and Garage,entire residential home,South San Francisco,94128,12 guests - 5 bedrooms - 5 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,4.87,191,False,,425.0,195.0,148.0
"Queen size bed private bedroom, near SFO & Bart",private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen,Dec 24 – 26,4.86,111,False,,78.0,30.0,26.0
Private Bedroom Queen size bed mins away from SFO,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen,Dec 24 – 26,4.74,130,True,68.0,60.0,30.0,21.0
1332A Double-Bed Master Bedroom with Private Bath,private room,South San Francisco,94128,3 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.49,106,False,,73.0,45.0,27.0
SFO Luxury House 4BR/3BA near SF & Silicon Valley,entire residential home,Burlingame,94128,8 guests - 4 bedrooms - 5 beds - 3 baths,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,4.99,87,False,,600.0,300.0,212.0
SFO bay area cozy single family home,entire residential home,South San Francisco,94128,6 guests - 3 bedrooms - 3 beds - 2 baths,Wifi - Free parking - Kitchen - Washer,Dec 3 – 5,4.89,109,False,,270.0,199.0,104.0
"The Millwood, Deluxe Double",room in boutique hotel,Millbrae,94128,2 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking - Washer,Dec 10 – 12,4.67,18,False,,154.0,0.0,0.0
Sparkling Clean Luxury 3 BR Near SF/SFO+EV+Parking,entire residential home,South San Francisco,94128,12 guests - 3 bedrooms - 5 beds - 1 bath,Wifi - Free parking - Kitchen - Washer,Dec 24 – 26,4.96,193,False,,545.0,139.0,174.0
Affordable Commercial 2 Bed/ 1 Bath - Down,entire rental unit,South San Francisco,94128,6 guests - Studio - 2 beds - 1 bath,Wifi - Washer,Dec 10 – 12,4.5,22,False,,95.0,75.0,37.0
Private 2BR Apartment/Pet Friendly/Backyard/Patio,entire rental unit,San Bruno,94128,6 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Free parking - Kitchen,Dec 10 – 12,4.5,4,False,,225.0,130.0,82.0
Warm and comfortable home,private room,Burlingame,94128,2 guests - 1 bedroom - 2 beds - 1 shared bath,Wifi - Kitchen - Washer,Dec 24 – 26,5.0,4,False,,90.0,15.0,28.0
Luxurious Master w/ Private Entrance and Parking,private room,Burlingame,94128,4 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 17 – 19,4.77,26,False,,107.0,59.0,38.0
SanBruno A3 Cozy 2bed&bath FreeParking SFO,private room,San Bruno,94128,5 guests - 1 bedroom - 3 beds - 1 private bath,Wifi - Free parking - Kitchen,Dec 24 – 26,4.88,8,False,,78.0,60.0,30.0
B4 - Peace Room near San Francisco  Airport,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 2 shared baths,Free parking - Kitchen,Dec 17 – 19,,0,False,,48.0,18.0,16.0
S1 - Love Room in San Bruno,private room,San Bruno,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen,Dec 31 – Jan 2,,0,False,,50.0,18.0,17.0
"Look No Further! Pets Allowed, Near Anchor Brewing Company",hotel room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi,Dec 17 – 19,,0,False,,86.0,0.0,24.0
B3 - Master bedroom with spectacular  view,private room,San Bruno,94128,2 guests - 1 bedroom - 2 baths,Free parking - Kitchen,Dec 10 – 12,3.67,3,False,,65.0,0.0,18.0
Private bed room/bath with wi-fi,private room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Free parking,Dec 17 – 19,4.61,213,False,,85.0,15.0,26.0
(A2)SouthSF-Cozy1QuBed&Bath*FREEPARKING*Convenient,private room,South San Francisco,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 31 – Jan 2,4.54,83,False,,68.0,40.0,25.0
Large private room near SFO airport and Biotech,private room,South San Francisco,94128,1 guest - 1 bedroom - 2 beds - 1 shared bath,Wifi - Free parking - Kitchen - Washer,Dec 10 – 12,,0,False,,81.0,0.0,23.0
"The Millwood, Deluxe Junior Double Suite",room in boutique hotel,Millbrae,94128,2 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking - Washer,Dec 17 – 19,,0,True,189.0,169.0,0.0,0.0
PRIVATE BEDROOM MINUTES AWAY FROM SFO AIRPORT,private room,Millbrae,94128,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 3 – 5,,0,False,,115.0,45.0,39.0
Balcony King Room at Vagabond Inn Executive SFO,hotel room,Burlingame,94128,2 guests - 1 bedroom - 1 bed - 1 private bath,Wifi - Free parking,Dec 3 – 5,,0,False,,118.0,0.0,0.0
