title,listing_type,city,zip_code,numerical_descriptors,amenities,dates,rating,num_reviews,discounted,original_value,price_per_night,cleaning_fee,service_fee
Nice bright room in a beautiful house in Albany CA,private room,Albany,94701,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Free parking,Dec 24 – 26,4.78,41,False,,65.0,50.0,25.0
Cozy and Cheerful Apartment in Heart of Rockridge,entire rental unit,Shafter,94701,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 3 – 5,4.67,238,False,,139.0,75.0,50.0
One BR apt w/ modern amenities in Berkeley Hills,entire guest suite,Berkeley Hills,94701,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Free parking - Washer,Dec 31 – Jan 2,4.95,101,False,,170.0,110.0,64.0
Morning Room in North Oakland charmer,private room,Oakland,94701,1 guest - 1 bedroom - 1 bed - 1.5 shared baths,Wifi - Kitchen - Washer,Dec 31 – Jan 2,4.91,122,False,,50.0,65.0,23.0
Morning Room in North Oakland charmer,private room,Oakland,94701,1 guest - 1 bedroom - 1 bed - 1.5 shared baths,Wifi - Kitchen - Washer,Dec 31 – Jan 2,4.91,122,False,,50.0,65.0,23.0
Beautiful Rooms for Woman Traveler,private room,Berkeley,94701,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen,Dec 31 – Jan 2,4.88,108,False,,67.0,25.0,22.0
nice room in cozy house,private room,Albany,94701,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi,Dec 24 – 26,4.69,59,False,,60.0,20.0,20.0
Amazing Remodeled Home in the Heart of Bushrod,entire residential home,Oakland,94701,4 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Free parking,Dec 10 – 12,4.38,66,True,149.0,129.0,90.0,49.0
The Rockridge Cottage,entire guesthouse,Oakland,94701,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen,Dec 10 – 12,4.91,126,False,,165.0,100.0,61.0
North Berkeley Craftsman Stay,private room,Berkeley,94701,2 guests - 1 bedroom - 2 beds - 1.5 baths,Wifi - Free parking,Dec 3 – 5,4.72,123,False,,125.0,35.0,40.0
Bright and Breezy One Bedroom Apartment,entire rental unit,Shafter,94701,2 guests - 1 bedroom - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 10 – 12,4.8,110,False,,125.0,75.0,46.0
Charming 2 BD Home in the Heart of Bushrod,entire residential home,Oakland,94701,4 guests - 2 bedrooms - 2 beds - 1 bath,Wifi - Kitchen - Free parking,Dec 10 – 12,4.0,8,True,209.0,149.0,120.0,59.0
Eco-friendly! Room in North Oakland,private room,Oakland,94701,1 guest - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 24 – 26,4.83,82,False,,65.0,38.0,24.0
Sunny Private Oakland Master Bedroom,private room,Oakland,94701,3 guests - 1 bedroom - 2 beds - 1 private bath,Wifi - Free parking,Dec 31 – Jan 2,4.92,126,False,,100.0,30.0,32.0
Rancho Santa Fe studio w/private entrance and bath,private room,Santa Fe,94701,3 guests - 1 bedroom - 1 bed - 1 private bath,Wifi,Dec 10 – 12,4.82,22,False,,70.0,15.0,22.0
Charming sunny apartment w/ garden view Ashby BART,entire rental unit,Berkeley,94701,4 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen - Washer,Dec 17 – 19,,0,True,265.0,161.0,150.0,67.0
Sweet Garden 1BR (Disinfected!) Rockridge/Temescal,entire rental unit,Fairview Park,94701,3 guests - 1 bedroom - 2 beds - 1 bath,Wifi - Kitchen,Dec 31 – Jan 2,4.95,117,False,,117.0,98.0,47.0
Spacious home w/sunny deck near BART and Berkeley,private room,Fairview Park,94701,2 guests - 1 bedroom - 1 bed - 1 shared bath,Wifi - Kitchen - Washer,Dec 17 – 19,4.79,104,False,,70.0,20.0,23.0
"North Berkeley Gem, 3 blocks from Gourmet ghetto",entire rental unit,Berkeley Hills,94701,2 guests - Studio - 1 bed - 1 bath,Wifi - Kitchen - Washer,Dec 31 – Jan 2,4.88,24,False,,251.0,140.0,90.0
